Event	ID	Name			Wwise Object Path	Notes
	36359122	ST_GameFlow_Level_5			\Default Work Unit\Main\Set_State\ST_GameFlow\ST_GameFlow_Level_5	
	36359123	ST_GameFlow_Level_4			\Default Work Unit\Main\Set_State\ST_GameFlow\ST_GameFlow_Level_4	
	36359124	ST_GameFlow_Level_3			\Default Work Unit\Main\Set_State\ST_GameFlow\ST_GameFlow_Level_3	
	36359125	ST_GameFlow_Level_2			\Default Work Unit\Main\Set_State\ST_GameFlow\ST_GameFlow_Level_2	
	36359126	ST_GameFlow_Level_1			\Default Work Unit\Main\Set_State\ST_GameFlow\ST_GameFlow_Level_1	
	604897336	Play_SFX_Player_Jump			\Default Work Unit\Main\SFX\SFX_Player\Play_SFX_Player_Jump	
	697467967	Play_Sound_Test_2D			\Default Work Unit\Main\Z_Test\Play_Sound_Test_2D	
	871501620	Stop_Sound_Test_2D_LP			\Default Work Unit\Main\Z_Test\Stop_Sound_Test_2D_LP	
	1838668217	ST_Init			\Default Work Unit\Main\Set_State\ST_Init	
	1920689292	Play_SFX_Bubble_Ice_Spawn			\Default Work Unit\Main\SFX\SFX_Bubble\Play_SFX_Bubble_Ice_Spawn	
	2002635633	Play_SFX_Player_Footsteps			\Default Work Unit\Main\SFX\SFX_Player\Play_SFX_Player_Footsteps	
	2037741043	Play_SFX_Player_Land			\Default Work Unit\Main\SFX\SFX_Player\Play_SFX_Player_Land	
	2368847281	Play_SFX_Bubble_Balloon_Fly_LP			\Default Work Unit\Main\SFX\SFX_Bubble\Play_SFX_Bubble_Balloon_Fly_LP	
	2510895262	Play_Sound_Test_2D_LP			\Default Work Unit\Main\Z_Test\Play_Sound_Test_2D_LP	
	2932040671	Play_Music			\Default Work Unit\Main\MUSIC\Play_Music	
	3458233571	Stop_SFX_Bubble_Balloon_Fly_LP			\Default Work Unit\Main\SFX\SFX_Bubble\Stop_SFX_Bubble_Balloon_Fly_LP	
	3514202776	Play_SFX_Bubble_Balloon_Spawn			\Default Work Unit\Main\SFX\SFX_Bubble\Play_SFX_Bubble_Balloon_Spawn	
	3646474335	ST_TimeFreeze_Off			\Default Work Unit\Main\Set_State\ST_TimeFreeze_Off	
	3654473079	Play_SFX_Bubble_Ice_Despawn			\Default Work Unit\Main\SFX\SFX_Bubble\Play_SFX_Bubble_Ice_Despawn	
	4047794154	ST_GameFlow_MainMenu			\Default Work Unit\Main\Set_State\ST_GameFlow\ST_GameFlow_MainMenu	
	4110830156	Play_SFX_Entity_Speak			\Default Work Unit\Main\SFX\SFX_Entity\Play_SFX_Entity_Speak	
	4255932043	ST_TimeFreeze_On			\Default Work Unit\Main\Set_State\ST_TimeFreeze_On	

State Group	ID	Name			Wwise Object Path	Notes
	1642548553	ST_GameFlow			\Default Work Unit\Main\ST_GameFlow	

State	ID	Name	State Group			Notes
	36359122	ST_GameFlow_Level_5	ST_GameFlow			
	36359123	ST_GameFlow_Level_4	ST_GameFlow			
	36359124	ST_GameFlow_Level_3	ST_GameFlow			
	36359125	ST_GameFlow_Level_2	ST_GameFlow			
	36359126	ST_GameFlow_Level_1	ST_GameFlow			
	748895195	None	ST_GameFlow			
	4047794154	ST_GameFlow_MainMenu	ST_GameFlow			

Game Parameter	ID	Name			Wwise Object Path	Notes
	312429685	GP_TimeFreeze			\Default Work Unit\GP_TimeFreeze	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	22708807	SFX_Entity_Speak_01	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\D7\{D74D9F8D-AEAC-3843-EC6B-384D8ACBD4A3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Entity\SFX_Entity_Speak\SFX_Entity_Speak_01		91873
	46281276	SFX_Entity_Speak_02	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\49\{49144712-FBB1-D961-5FD7-70D28EEE3D6C}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Entity\SFX_Entity_Speak\SFX_Entity_Speak_02		95771
	57472082	MUSIC_Level_3	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\C4\{C4F6D199-9833-1454-6EC6-1FD9384AA0D8}.wem		\Interactive Music Hierarchy\Default Work Unit\Main\Music\MUSIC_Level_3\MUSIC_Level_3\MUSIC_Level_3		3502298
	80548659	SFX_Bubble_Ice_Despawn_03	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\75\{759DAC1F-9357-D744-2AE9-0506F7CB5F58}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Bubble\SFX_Bubble_Ice_Despawn\SFX_Bubble_Ice_Despawn_03		72707
	99383825	SFX_Player_Land	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\AA\{AA23AEC3-2972-2A07-9396-7F53ABC9BC90}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Player\SFX_Player_Land		11233
	124690407	MUSIC_Level_1	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\12\{123A822D-BD69-AD7E-7EB9-CEC12C97E8D5}.wem		\Interactive Music Hierarchy\Default Work Unit\Main\Music\MUSIC_Level_1\MUSIC_Level_1\MUSIC_Level_1		3509237
	147265247	SFX_Bubble_Ice_Spawn_03	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\72\{726A593F-E607-1306-EE31-994AE88684FD}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Bubble\SFX_Bubble_Ice_Spawn\SFX_Bubble_Ice_Spawn_03		105681
	168107640	SFX_Player_Footsteps_10	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\E9\{E9614C3C-3457-3FCC-50EA-1B575B609AC3}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Player\SFX_Player_Footsteps\SFX_Player_Footsteps_10		54844
	175642339	SFX_Entity_Speak_05	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\75\{75780782-6460-C97A-6977-4A48135400D6}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Entity\SFX_Entity_Speak\SFX_Entity_Speak_05		84092
	221817889	SFX_Player_Footsteps_02	F:\GGJ 2025\GitHub\labandedesignee\labandedesignee_WwiseProject\.cache\9A\{9A13BFD4-04DF-22D5-AD71-EDB4AF99B3F0}.wem		\Actor-Mixer Hierarchy\Default Work Unit\Main\SFX\SFX_Player\SFX_Player_Footsteps\SFX_Player_Footsteps_02		52756
